member_srl,ref_dt,rct_dt,dsl,dpo,label
196582,20171207,20170918,80,23.0,0
196582,20171222,20170918,95,23.0,0
196582,20180107,20170918,111,23.0,0
196582,20180122,20170918,126,23.0,0
196582,20180207,20170918,142,23.0,0
196582,20180222,20170918,157,23.0,0
196582,20180307,20170918,170,23.0,0
196582,20180322,20170918,185,23.0,1
196582,20180407,20180325,13,64.25,0
196582,20180422,20180325,28,64.25,0
196582,20180507,20180325,43,64.25,0
196582,20180522,20180325,58,64.25,0
196582,20180607,20180325,74,64.25,0
196582,20180622,20180325,89,64.25,1
196767,20170907,20170905,2,0.0,0
196767,20170922,20170905,17,0.0,0
196767,20171007,20170905,32,0.0,0
196767,20171022,20170905,47,0.0,0
196767,20171107,20170905,63,0.0,1
196767,20171122,20171117,5,18.25,1
196767,20171207,20171124,13,16.0,1
196767,20171222,20171218,4,17.3333333333333,0
196767,20180107,20171218,20,17.3333333333333,0
196767,20180122,20171218,35,17.3333333333333,0
196767,20180207,20171218,51,17.3333333333333,0
196767,20180222,20171218,66,17.3333333333333,0
196767,20180307,20171218,79,17.3333333333333,0
196767,20180322,20171218,94,17.3333333333333,0
196767,20180407,20171218,110,17.3333333333333,0
196767,20180422,20171218,125,17.3333333333333,0
196767,20180507,20171218,140,17.3333333333333,0
196767,20180522,20171218,155,17.3333333333333,0
196767,20180607,20171218,171,17.3333333333333,1
196767,20180622,20180608,14,39.4285714285714,0
198165,20170722,20170721,1,4.0,1
198165,20170807,20170802,5,6.66666666666667,0
198165,20170822,20170802,20,6.66666666666667,0
198165,20170907,20170802,36,6.66666666666667,1
198165,20170922,20170912,10,15.25,1
198165,20171007,20170924,13,14.6,0
198165,20171022,20170924,28,14.6,0
198165,20171107,20170924,44,14.6,0
198165,20171122,20170924,59,14.6,0
198165,20171207,20170924,74,14.6,1
198165,20171222,20171218,4,22.5714285714286,0
198165,20180107,20171218,20,22.5714285714286,0
198165,20180122,20171218,35,22.5714285714286,0
198165,20180207,20171218,51,22.5714285714286,0
198165,20180222,20171218,66,22.5714285714286,0
198165,20180307,20171218,79,22.5714285714286,0
198165,20180322,20171218,94,22.5714285714286,0
198165,20180407,20171218,110,22.5714285714286,0
198165,20180422,20180422,0,22.5714285714286,1
198655,20170807,20170803,4,1.0,1
198655,20170822,20170821,1,5.0,0
198655,20170907,20170821,17,5.0,1
198655,20170922,20170913,9,8.6,0
198655,20171007,20170913,24,8.6,1
198655,20171022,20171013,9,12.1666666666667,1
198655,20171107,20171101,6,13.1428571428571,0
198655,20171122,20171101,21,13.1428571428571,0
198655,20171207,20171101,36,13.1428571428571,0
198655,20171222,20171101,51,13.1428571428571,0
198655,20180107,20171101,67,13.1428571428571,1
198655,20180122,20180118,4,21.25,0
198655,20180207,20180118,20,21.25,0
198655,20180222,20180118,35,21.25,1
198655,20180307,20180305,2,24.0,1
198655,20180322,20180316,6,22.7,0
198655,20180407,20180316,22,22.7,0
198655,20180422,20180316,37,22.7,0
198655,20180507,20180316,52,22.7,0
198655,20180522,20180316,67,22.7,0
198655,20180607,20180316,83,22.7,0
198655,20180622,20180316,98,22.7,1
202053,20170922,20170913,9,0.0,1
202053,20171007,20170924,13,5.5,0
202053,20171022,20170924,28,5.5,0
202053,20171107,20170924,44,5.5,0
202053,20171122,20170924,59,5.5,0
202053,20171207,20170924,74,5.5,0
202053,20171222,20170924,89,5.5,0
202053,20180107,20170924,105,5.5,0
202053,20180122,20170924,120,5.5,0
202053,20180207,20170924,136,5.5,0
202053,20180222,20170924,151,5.5,1
202053,20180307,20180302,5,56.6666666666667,0
202053,20180322,20180302,20,56.6666666666667,1
204198,20170722,20170716,6,0.0,1
204198,20170807,20170803,4,9.0,0
204198,20170822,20170803,19,9.0,0
204198,20170907,20170803,35,9.0,0
204198,20170922,20170803,50,9.0,0
204198,20171007,20170803,65,9.0,0
204198,20171022,20170803,80,9.0,0
204198,20171107,20170803,96,9.0,0
204198,20171122,20170803,111,9.0,0
